"filename", "language", "JavaScript", "PHP", "JSON", "YAML", "Markdown", "PostCSS", "XML", "Docker", "Makefile", "Shell Script", "Happy", "reStructuredText", "pip requirements", "Python", "Dotenv", "Assembly", "Properties", "HTML", "Ruby", "CSV", "TypeScript", "Ini", "Batch", "Log", "MS SQL", "comment", "blank", "total"
"c:\Users\Brahim\Desktop\Prenoting\app\Http\Middleware\EnsureRole.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Brahim\Desktop\Prenoting\app\Models\Appointment.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 102
"c:\Users\Brahim\Desktop\Prenoting\app\Models\DoctorProfile.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\Brahim\Desktop\Prenoting\app\Models\MedicalService.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\Brahim\Desktop\Prenoting\app\Models\PatientProfile.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Brahim\Desktop\Prenoting\app\Models\ScheduleClosure.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Brahim\Desktop\Prenoting\app\Models\SpecialOpening.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Brahim\Desktop\Prenoting\app\Models\User.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 75
"c:\Users\Brahim\Desktop\Prenoting\app\Models\WorkingHour.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Brahim\Desktop\Prenoting\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 19
